"idStr","Title","Year","Abstract","Journal","Authors","DateTimeCreated","PdfRelativePath","Url","AuthorAddress","ReferenceType","Author","DOI","AltJournal","SystematicSearchName","Keywords","ScreeningDecisions","Screener","NIncluded","NExcluded","NTotalScreenings","AbsoluteAgreementRatio","Decision"
"0246bbcf-0ce3-4e6d-84b1-717614257035","Retinal output changes qualitatively with every change in ambient illuminance.",0,"The collective activity pattern of retinal ganglion cells, the retinal code, underlies higher visual processing. How does the ambient illuminance of the visual scene influence this retinal output? We recorded from isolated mouse and pig retina and from mouse dorsal lateral geniculate nucleus in vivo at up to seven ambient light levels covering the scotopic to photopic regimes. Across each luminance transition, most ganglion cells exhibited qualitative response changes, whereas they maintained stable responses within each luminance. We commonly observed the appearance and disappearance of ON responses in OFF cells and vice versa. Such qualitative response changes occurred for a variety of stimuli, including full-field and localized contrast steps and naturalistic movies. Our results suggest that the retinal code is not fixed but varies with every change of ambient luminance. This finding raises questions about signal processing within the retina and has implications for visual processing in higher brain areas.             ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NPG428","1, 1","Malcolm, Gill",2,0,2,1,"Included"
"03c2f934-9a86-4070-b1b2-8d69e3e0f768","Structural basis for heteromeric assembly and perinuclear organization of keratin filaments.",0,"There is as yet no high-resolution data regarding the structure and organization of keratin intermediate filaments, which are obligate heteropolymers providing vital mechanical support in epithelia. We report the crystal structure of interacting 2B regions from the central coiled-coil domains of keratins 5 and 14 (K5 and K14), expressed in progenitor keratinocytes of epidermis. The interface of the K5-K14 coiled-coil heterodimer has asymmetric salt bridges, hydrogen bonds and hydrophobic contacts, and its surface exhibits a notable charge polarization. A trans-dimer homotypic disulfide bond involving Cys367 in K14's stutter region occurs in the crystal and in skin keratinocytes, where it is concentrated in a keratin filament cage enveloping the nucleus. We show that K14-Cys367 impacts nuclear shape in cultured keratinocytes and that mouse epidermal keratinocytes lacking K14 show aberrations in nuclear structure, highlighting a new function for keratin filaments.            ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NPG429","1, 1","Malcolm, Gill",2,0,2,1,"Included"
"0bd72a61-97dd-4969-a32d-015d9f3b17b6","Optical control of metabotropic glutamate receptors.",0,"G protein-coupled receptors (GPCRs), the largest family of membrane signaling proteins, respond to neurotransmitters, hormones and small environmental molecules. The neuronal function of many GPCRs has been difficult to resolve because of an inability to gate them with subtype specificity, spatial precision, speed and reversibility. To address this, we developed an approach for opto-chemical engineering of native GPCRs. We applied this to the metabotropic glutamate receptors (mGluRs) to generate light-agonized and light-antagonized mGluRs (LimGluRs). The light-agonized LimGluR2, on which we focused, was fast, bistable and supported multiple rounds of on/off switching. Light gated two of the primary neuronal functions of mGluR2: suppression of excitability and inhibition of neurotransmitter release. We found that the light-antagonized tool LimGluR2-block was able to manipulate negative feedback of synaptically released glutamate on transmitter release. We generalized the optical control to two additional family members: mGluR3 and mGluR6. This system worked in rodent brain slices and in zebrafish in vivo, where we found that mGluR2 modulated the threshold for escape behavior. These light-gated mGluRs pave the way for determining the roles of mGluRs in synaptic plasticity, memory and disease.            ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NPG336","1, 1","Em, Malcolm",2,0,2,1,"Included"
"0f0d734b-1cd6-4d60-9e9f-0436d15a635f","The LRRC8-mediated volume-regulated anion channel is altered in glaucoma",0,"Regulation of cellular volume is an essential process to balance volume changes during cell proliferation and migration or when intracellular osmolality increases due to transepithelial transport. We previously characterized the key role of volume-regulated anion channels (VRAC) in the modulation of the volume of trabecular meshwork (TM) cells and, in turn, the aqueous humour (AH) outflow from the eye. The balance between the secretion and the drainage of AH determines the intraocular pressure (IOP) that is the major casual risk factor for glaucoma. Glaucoma is an ocular disease that causes irreversible blindness due to the degeneration of retinal ganglion cells. The recent identification of Leucine-Rich Repeat-Containing 8 (LRRC8A-E) proteins as the molecular components of VRAC opens the field to elucidate their function in the physiology of TM and glaucoma. Human TM cells derived from non-glaucomatous donors and from open-angle glaucoma patients were used to determine the expression and the functional activity of LRRC8-mediated channels. Expression levels of LRRC8A-E subunits were decreased in HTM glaucomatous cells compared to normotensive HTM cells. Consequently, the activity of VRAC currents and volume regulation of TM cells were significantly affected. Impaired cell volume regulation will likely contribute to altered aqueous outflow and intraocular pressure.      ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","d42fb3ea-93d1-41d2-8095-ec305d6cad02","1, 1","Malcolm, Gill",2,0,2,1,"Included"
"18ae371b-2c2c-4e77-aac5-c64e27ed4611","Simultaneous sequencing of oxidized methylcytosines produced by TET/JBP dioxygenases in Coprinopsis cinerea.",0,"TET/JBP enzymes oxidize 5-methylpyrimidines in DNA. In mammals, the oxidized methylcytosines (oxi-mCs) function as epigenetic marks and likely intermediates in DNA demethylation. Here we present a method based on diglucosylation of 5-hydroxymethylcytosine (5hmC) to simultaneously map 5hmC, 5-formylcytosine, and 5-carboxylcytosine at near-base-pair resolution. We have used the method to map the distribution of oxi-mC across the genome of Coprinopsis cinerea, a basidiomycete that encodes 47 TET/JBP paralogs in a previously unidentified class of DNA transposons. Like 5-methylcytosine residues from which they are derived, oxi-mC modifications are enriched at centromeres, TET/JBP transposons, and multicopy paralogous genes that are not expressed, but rarely mark genes whose expression changes between two developmental stages. Our study provides evidence for the emergence of an epigenetic regulatory system through recruitment of selfish elements in a eukaryotic lineage, and describes a method to map all three different species of oxi-mCs simultaneously.             ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NSS214","0, 1, 0","Em, Malcolm, Gill",1,2,3,0.333333333333333,"Excluded"
"1921d051-633a-4c9f-990b-a8d285f7eefd","RNA interference-based therapy for spinocerebellar ataxia type 7 retinal degeneration.",0,"Spinocerebellar ataxia type 7 (SCA7) is an autosomal dominant neurodegenerative disease characterized by loss of motor coordination and retinal degeneration with no current therapies in the clinic. The causative mutation is an expanded CAG repeat in the ataxin-7 gene whose mutant protein product causes cerebellar and brainstem degeneration and retinal cone-rod dystrophy. Here, we reduced the expression of both mutant and wildtype ataxin-7 in the SCA7 mouse retina by RNA interference and evaluated retinal function 23 weeks post injection. We observed a preservation of normal retinal function and no adverse toxicity with ≥50% reduction of mutant and wildtype ataxin-7 alleles. These studies address an important safety concern regarding non-allele specific silencing of ataxin-7 for SCA7 retinal therapy.             ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NSS386","0, 1, 0","Em, Malcolm, Gill",1,2,3,0.333333333333333,"Excluded"
"1ccf386e-5218-4240-b90a-4a065877ab53","Molecular determinants of prostate cancer metastasis",0,"Metastatic cancer remains largely incurable and fatal. The general course of cancer, from the initiation of primary tumor formation and progression to metastasis, is a multistep process wherein tumor cells at each step must display specific phenotypic features. Distinctive capabilities required for primary tumor initiation and growth form the foundation, and sometimes may remain critical, for subsequent metastases. These phenotypic features must remain easily malleable during the acquisition of additional capabilities unique and essential to the metastatic process such as dissemination to distant tissues wherein tumor cells interact with foreign microenvironments. Thus, the metastatic phenotype is a culmination of multiple genetic and epigenetic alterations and subsequent selection for favorable traits under the pressure of ever-changing tumor microenvironments. Although our understanding of the molecular programs that drive cancer metastasis are incomplete, increasing evidence suggests that successful metastatic colonization relies on the dissemination of cancer stem cells (CSCs) with tumor-regenerating capacity and adaptive programs for survival in distant organs. In the past 2-3 years, a myriad of novel molecular regulators and determinants of prostate cancer metastasis have been reported, and in this Perspective, we comprehensively review this body of literature and summarize recent findings regarding cell autonomous molecular mechanisms critical for prostate cancer metastasis.      ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","53943c67-bfc3-43fc-84e3-e7a605a60bc4","0, 0","Em, Malcolm",0,2,2,1,"Excluded"
"20bd3440-8572-439b-90c0-b90f9beb7598","An inhibitor of the protein kinases TBK1 and IKK-ɛ improves obesity-related metabolic dysfunctions in mice.",0,"Emerging evidence suggests that inflammation provides a link between obesity and insulin resistance. The noncanonical IκB kinases IKK-ɛ and TANK-binding kinase 1 (TBK1) are induced in liver and fat by NF-κB activation upon high-fat diet feeding and in turn initiate a program of counterinflammation that preserves energy storage. Here we report that amlexanox, an approved small-molecule therapeutic presently used in the clinic to treat aphthous ulcers and asthma, is an inhibitor of these kinases. Treatment of obese mice with amlexanox elevates energy expenditure through increased thermogenesis, producing weight loss, improved insulin sensitivity and decreased steatosis. Because of its record of safety in patients, amlexanox may be an interesting candidate for clinical evaluation in the treatment of obesity and related disorders.            ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","NPG112","1, 1","Malcolm, Gill",2,0,2,1,"Included"
"22775eeb-1305-4ff4-a273-5032897599fa","Triptolide Induces hepatotoxicity via inhibition of CYP450s in Rat liver microsomes",0,"  Background  Triptolide (TP), an active constituent of Tripterygium wilfordii, possesses numerous pharmacological activities. However, its effects on cytochrome P450 enzymes (CYP450s) in rats remain unexplored.  Methods  In this study, the effects of triptolide on the six main CYP450 isoforms (1A2, 2C9, 2C19, 2D6, 2E1, and 3A) were investigated both in vivo and in vitro. We monitored the body weight, survival proportions, liver index, changes in pathology, and biochemical index upon TP administration, in vivo. Using a cocktail probe of CYP450 isoform-specific substrates and their metabolites, we then carried out in vitro enzymatic studies in liver microsomal incubation systems via ultra-high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS). Finally, we verified our results at the messenger ribonucleic acid (mRNA) and protein level through quantitative real-time polymerase chain reaction (RT-qPCR), western blotting, and immunohistochemical detection.  Results  The in vivo toxicity study confirmed that Sprague-Dawley (SD) rats exhibited dose-dependent hepatotoxicity after intragastric administration of TP [200, 400, and 600 μg/(kg.day)] for 28 days. In case of the CYP450 isoforms 3A, 2C9, 2C19, and 2E1, the in vitro metabolic study demonstrated a decrease in the substrate metabolic rate, metabolite production rate, and Vmax, with an increase in the Km value, compared with that observed in the control group. Additionally, a TP dose-dependent decrease in the mRNA levels was observed in the four major isoforms of CYP3A subfamily (3A1/3A23, 3A2, 3A9, and 3A62) and CYP2C9. A similar effect was also observed with respect to the protein levels of CYP2C19 and CYP2E1.  Conclusions  This study suggests that TP can cause hepatotoxicity by reducing the substrate affinity, activity, and expression at the transcriptional and protein levels of the CYP450 isoforms 3A, 2C9, 2C19, and 2E1. TP also has the potential to cause pharmacokinetic drug interactions when co-administered with drugs metabolized by these four isoforms. However, further clinical studies are needed to evaluate the significance of this interaction.  Electronic supplementary material  The online version of this article (doi:10.1186/s12906-016-1504-3) contains supplementary material, which is available to authorized users.      ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","1c501fad-6f36-4f47-87af-c81035abfc3f","1, 1","Em, Malcolm",2,0,2,1,"Included"
"237f7c36-ce20-49d3-a4c6-77591aa3f013","Nrf2 is highly expressed in neutrophils, but myeloid cell-derived Nrf2 is dispensable for wound healing in mice",0,"Immune cells of the myeloid lineage are key players in skin wound healing, since they secrete various cytokines and growth factors that orchestrate the repair process. In addition, they are crucial for the defense against invading pathogens through their capacity to produce high levels of reactive oxygen species (ROS). To limit the toxicity of ROS, cells have developed antioxidant defense strategies, including expression of the cytoprotective NRF2 transcription factor. Here we show that murine neutrophils and to a lesser extent macrophages strongly express Nrf2 already when present in the circulation and in particular at the wound site. To determine the role of Nrf2 in neutrophils and macrophages for wound repair, we generated mice with a gain- or loss-of-function of this transcription factor in the myeloid cell lineage. Expression of a constitutively active Nrf2 mutant in myeloid cells did not further enhance the overall Nrf2 activity in these cells due to the already high steady-state activity of endogenous Nrf2. Surprisingly, deletion of Nrf2 in myeloid cells only mildly affected the levels of ROS and the expression of pro-inflammatory cytokines by these cells. In particular, various parameters of wound healing, including wound closure, reepithelialization, wound contraction and the presence of myeloid cells at the wound site were not affected. These results reveal that Nrf2 in myeloid cells is dispensable for wound healing and suggest the presence of additional antioxidant defense strategies of these cells that compensate for the loss of Nrf2, even in the harsh environment of skin wounds.      ",""," ",2020-04-30 11:05:33,"","","","","","","","300420_errorAnalysis","2f8fb9c5-5bef-4bdb-bc6b-bbe45673d3de","0, 0","Em, Malcolm",0,2,2,1,"Excluded"
