"REVIEW_ID","ITEM_ID","TITLE","ABSTRACT","KEYWORDS"
"IN_VITRO_TRAINING","001dd2e8-b10a-441e-8e93-c9d05a64018e","The prognostic significance of monoclonal immunoglobulin gene rearrangement in conjunction with histologic B‐cell aggregates in the bone marrow of patients with diffuse large B‐cell lymphoma","AbstractBone marrow involvement (BMI) is a well‐known poor prognostic factor in patients with diffuse large B‐cell lymphoma (DLBCL). This study robustly investigated the significance of monoclonal immunoglobulin gene rearrangement combined with histologic B‐cell aggregates in bone marrow (BM) in the detection of a poor prognostic group. Pretreatment BM samples of 394 DLBCL patients were analyzed via the immunoglobulin gene rearrangement study and the microscopic examination. Monoclonal immunoglobulin gene rearrangement was detected in 25.4% of cases. Histologic B‐cell aggregates with the features of large B‐cell lymphoma aggregates, small cell B‐cell lymphoma aggregates, or B‐cell aggregates of unknown biological potential were observed in 12% of cases (6.9%, 1.3%, and 3.8%, respectively). Histologic B‐cell aggregates were more associated with monoclonality than polyclonality. Cases with both monoclonality and histologic B‐cell aggregates demonstrated close association with poor prognostic factors such as a higher International Prognostic Index score and showed an inferior overall survival rate when compared to cases with only monoclonality or only histologic B‐cell aggregates. From the findings, a combination of monoclonality and histologic B‐cell aggregates within the bone marrow was highly associated with poor prognosis and could be used to determine high‐risk DLBLC patients with greater sensitivity and specificity than conventional microscopic examination or immunoglobulin gene rearrangement study alone.      ",
"IN_VITRO_TRAINING","00439e41-5960-4c0d-a50d-a1668a342798","The Octopamine Receptor Octβ2R Regulates Ovulation in Drosophila melanogaster","Oviposition is induced upon mating in most insects. Ovulation is a primary step in oviposition, representing an important target to control insect pests and vectors, but limited information is available on the underlying mechanism. Here we report that the beta adrenergic-like octopamine receptor Octβ2R serves as a key signaling molecule for ovulation and recruits protein kinase A and Ca2+/calmodulin-sensitive kinase II as downstream effectors for this activity. We found that the octβ2r homozygous mutant females are sterile. They displayed normal courtship, copulation, sperm storage and post-mating rejection behavior but were unable to lay eggs. We have previously shown that octopamine neurons in the abdominal ganglion innervate the oviduct epithelium. Consistently, restored expression of Octβ2R in oviduct epithelial cells was sufficient to reinstate ovulation and full fecundity in the octβ2r mutant females, demonstrating that the oviduct epithelium is a major site of Octβ2R’s function in oviposition. We also found that overexpression of the protein kinase A catalytic subunit or Ca2+/calmodulin-sensitive protein kinase II led to partial rescue of octβ2r’s sterility. This suggests that Octβ2R activates cAMP as well as additional effectors including Ca2+/calmodulin-sensitive protein kinase II for oviposition. All three known beta adrenergic-like octopamine receptors stimulate cAMP production in vitro. Octβ1R, when ectopically expressed in the octβ2r’s oviduct epithelium, fully reinstated ovulation and fecundity. Ectopically expressed Octβ3R, on the other hand, partly restored ovulation and fecundity while OAMB-K3 and OAMB-AS that increase Ca2+ levels yielded partial rescue of ovulation but not fecundity deficit. These observations suggest that Octβ2R have distinct signaling capacities in vivo and activate multiple signaling pathways to induce egg laying. The findings reported here narrow the knowledge gap and offer insight into novel strategies for insect control.      ",
"IN_VITRO_TRAINING","0067ad8f-50fe-429e-83a3-9e21d177ee40","Alemtuzumab in Multiple Sclerosis: Mechanism of Action and Beyond","Alemtuzumab is a humanized monoclonal antibody against CD52 (cluster of differentiation 52) and is approved for the therapy of relapsing-remitting multiple sclerosis. The application of alemtuzumab leads to a rapid, but long-lasting depletion predominantly of CD52-bearing B and T cells with reprogramming effects on immune cell composition resulting in the restoration of tolerogenic networks. Alemtuzumab has proven high efficacy in clinical phase II and III trials, where interferon β-1a was used as active comparator. However, alemtuzumab is associated with frequent and considerable risks. Most importantly secondary autoimmune disease affects 30%–40% of patients, predominantly impairing thyroid function. Extensive monitoring and early intervention allow for an appropriate risk management. However, new and reliable biomarkers for individual risk stratification and treatment response to improve patient selection and therapy guidance are a significant unmet need. Only a deeper understanding of the underlying mechanisms of action (MOA) will reveal such markers, maximizing the best potential risk-benefit ratio for the individual patient. This review provides and analyses the current knowledge on the MOA of alemtuzumab. Most recent data on efficacy and safety of alemtuzumab are presented and future research opportunities are discussed.      ",
"IN_VITRO_TRAINING","009ea88f-053b-4cd7-9544-a8dd617602b0","The Long Noncoding RNA MALAT-1 is A Novel Biomarker in Various Cancers: A Meta-analysis Based on the GEO Database and Literature","Background: MALAT-1 is significantly overexpressed in various cancers, suggesting that it might be a potential biomarker of cancer.Methods: A meta-analysis was performed using microarray data obtained via the Affymetrix Human Genome U133 Plus 2.0 platform found in the Gene Expression Omnibus (GEO) database and data obtained through a systematic search of PubMed and Web of Science. The pooled odds ratio (OR) and hazard ratio (HR) with 95% CI (Confidence interval) were used to judge the value of biomarkers.Results: A total of 28 studies were included in this meta-analysis, comprising a total of 3573 patients. MALAT-1 was significantly linked with over survival (OS) (HR=1.58, 95%CI: 1.12-2.23), recurrence-free survival (RFS) (HR=2.32, 95% CI: 1.68-3.19) and death-free survival (DFS) (HR=3.28, 95% CI: 1.52-7.09). We found that MALAT-1 was a risk factor in the prognoses of lung cancer (HR=1.54, 95%CI: 1.01-2.34), digestive system cancer (HR=2.16, 95% CI: 1.34-3.48) and ovarian cancer (HR=3.98, 95% CI: 1.54-10.25). In contrast, MALAT-1 was a safe factor in the prognosis of B cell lineage cancer (HR=0.45, 95% CI: 0.33-0.61). MALAT-1 was also a risk factor of RFS in breast cancer (HR=1.97, 95% CI: 1.25-3.09) and the TNM stage in pancreatic cancer (OR=3.65, 95% CI: 1.86-7.18) and glioma (OR=4.30, 95% CI: 1.90-9.73) and was a safe factor in colorectal cancer (OR=0.17, 95% CI: 0.08-0.35). MALAT-1 was significantly associated with lymph node metastasis in clear cell carcinoma (OR=5.04, 95% CI: 2.36-10.78) and distant metastasis in pancreatic cancer (OR=11.64, 95% CI: 2.13-63.78).Conclusions: MALAT-1 can serve as a molecular marker in different types of cancers.      ",
"IN_VITRO_TRAINING","00adcdae-1246-4cc2-9d99-971bc2c02f8d","Hydrogen ion block of the sodium pore in squid giant axons","The block of squid axon sodium channels by H ions was studied using voltage-clamp and internal perfusion techniques. An increase in the concentration of internal permeant ions decreased the block produced by external H ions. The voltage dependence of the block was found to be nonmonotonic: it was reduced by both large positive and large negative potentials. The ability of internal ions to modify the block by external H+ is explained by a competition among these ions for a binding site within the pore. The nonmonotonic voltage dependence is consistent with this picture if the hydrogen ions are allowed to be permeant.      ",
"IN_VITRO_TRAINING","010ee201-10a8-486c-acdc-d83fef5aaeef","Preservation of retinal structure and function after cilioretinal artery occlusion: a case report","Cilioretinal artery occlusion is a cause of sudden, often catastrophic loss of central vision. There are no established effective treatments. Recently, a patient presented 24 hours after a cilioretinal artery occlusion, following a cardiac catheterization prior to which her blood thinners had been discontinued. Lacking an effective way to address the severe retinal ischemic oxidative stress, she was offered, under compassionate use, a multivitamin complex designed to address retinal ischemia and oxidative stress. Significant components of this product are L-methylfolate and n-acetyl cysteine. The patient experienced a rapid unexpected improvement in vision and preservation of retinal structure, suggesting that marked improvement in retinal artery occlusions outcomes may be possible as late as 24 hours postocclusion. This is the third reported case of cilioretinal artery occlusion associated with cardiac catheterization.      ",
"IN_VITRO_TRAINING","010fd459-36e0-4552-ae48-4823a41490b4","Bis(2,4,6-triamino-1,3,5-triazin-1-ium) hexa­aqua­cobalt(II) bis­[bis­(pyridine-2,6-dicarboxyl­ato)cobaltate(II)] tetra­hydrate","The title compound, (C3H7N6)2[Co(H2O)6][Co(C7H3NO4)2]2·4H2O, or (tataH)2[Co(H2O)6][Co(pydc)2]2·4H2O (where tata is 2,4,6-triamino-1,3,5-triazine and pydc is pyridine-2,6-dicarboxylic acid), was obtained by reaction of Co(NO3)2·6H2O with the proton-transfer compound (tataH)2(pydc) in aqueous solution. The [Co(pydc)2]2− anion is a six-coordinate CoII complex with a distorted octa­hedral coordination geometry. The structure also contains hexa­aqua­cobalt(II) cations (site symmetry ), (tataH)+ cations and uncoordinated water mol­ecules. The two(pydc)2− ligands in each [Co(pydc)2]2− anion are almost perpendicular to each other [dihedral angle between their mean planes = 82.3 (1)°]. There is extensive O—H⋯O, N—H⋯N, O—H⋯N and C—H⋯O hydrogen bonding in the structure, as well as π–π stacking between (pydc)2− ligands with an inter­planar distance of 3.484 (15) Å.      ",
"IN_VITRO_TRAINING","01213c96-f307-4f34-a75e-263250422289","New Appliances & Things Medical",,
"IN_VITRO_TRAINING","0122a153-3412-4959-867d-db7906b84b10","Optogenetic activation of neocortical neurons in vivo with a sapphire-based micro-scale LED probe","Optogenetics has proven to be a revolutionary technology in neuroscience and has advanced continuously over the past decade. However, optical stimulation technologies for in vivo need to be developed to match the advances in genetics and biochemistry that have driven this field. In particular, conventional approaches for in vivo optical illumination have a limitation on the achievable spatio-temporal resolution. Here we utilize a sapphire-based microscale gallium nitride light-emitting diode (μLED) probe to activate neocortical neurons in vivo. The probes were designed to contain independently controllable multiple μLEDs, emitting at 450 nm wavelength with an irradiance of up to 2 W/mm2. Monte-Carlo stimulations predicted that optical stimulation using a μLED can modulate neural activity within a localized region. To validate this prediction, we tested this probe in the mouse neocortex that expressed channelrhodopsin-2 (ChR2) and compared the results with optical stimulation through a fiber at the cortical surface. We confirmed that both approaches reliably induced action potentials in cortical neurons and that the μLED probe evoked strong responses in deep neurons. Due to the possibility to integrate many optical stimulation sites onto a single shank, the μLED probe is thus a promising approach to control neurons locally in vivo.      ",
"IN_VITRO_TRAINING","01261ce8-e53f-4e65-8c92-dfecd699b8df","Tumor‐suppressive roles of ΔNp63β‐miR‐205 axis in epithelial–mesenchymal transition of oral squamous cell carcinoma via targeting ZEB1 and ZEB2","We previously revealed that epithelial‐to‐mesenchymal transition (EMT) was mediated by ΔNp63β, a splicing variant of ΔNp63, in oral squamous cell carcinoma (OSCC). Recent studies have highlighted the involvement of microRNA (miRNA) in EMT of cancer cells, though the mechanism remains unclear. To identify miRNAs responsible for ΔNp63β‐mediated EMT, miRNA microarray analyses were performed by ΔNp63β‐overexpression in OSCC cells; SQUU‐B, which lacks ΔNp63 expression and displays EMT phenotypes. miRNAs microarray analyses revealed miR‐205 was the most up‐regulated following ΔNp63β‐overexpression. In OSCC cells, miR‐205 expression was positively associated with ΔNp63 and negatively with zinc‐finger E‐box binding homeobox (ZEB) 1 and ZEB2, potential targets of miR‐205. miR‐205 overexpression by miR‐205 mimic transfection into SQUU‐B cells led to decreasing ZEB1, ZEB2, and mesenchymal markers, increasing epithelial markers, and reducing cell motilities, suggesting inhibition of EMT phenotype. Interestingly, the results opposite to this phenomenon were obtained by transfection of miR‐205 inhibitor into OSCC cells, which express ΔNp63 and miR‐205. Furthermore, target protector analyses revealed direct regulation by miR‐205 of ZEB1 and ZEB2 expression. These results showed tumor‐suppressive roles of ΔNp63β and miR‐205 by inhibiting EMT thorough modulating ZEB1 and ZEB2 expression in OSCC.      ",
