"","Thresholds","Specificity","Sensitivity","Precision","Chosen"
"1",0.01,0.0194986072423398,1,0.272727272727273,FALSE
"2",0.02,0.0222841225626741,1,0.273291925465839,FALSE
"3",0.03,0.0473537604456825,1,0.278481012658228,FALSE
"4",0.04,0.0779944289693593,1,0.285097192224622,FALSE
"5",0.05,0.164345403899721,1,0.305555555555556,FALSE
"6",0.06,0.236768802228412,1,0.32512315270936,FALSE
"7",0.07,0.303621169916435,1,0.345549738219895,FALSE
"8",0.08,0.356545961002786,1,0.363636363636364,FALSE
"9",0.09,0.406685236768802,1,0.382608695652174,FALSE
"10",0.1,0.442896935933148,1,0.397590361445783,FALSE
"11",0.11,0.479108635097493,1,0.413793103448276,FALSE
"12",0.12,0.534818941504178,1,0.441471571906354,FALSE
"13",0.13,0.573816155988858,1,0.463157894736842,FALSE
"14",0.14,0.596100278551532,1,0.476534296028881,FALSE
"15",0.15,0.635097493036212,1,0.501901140684411,FALSE
"16",0.16,0.665738161559889,1,0.523809523809524,FALSE
"17",0.17,0.685236768802228,1,0.538775510204082,FALSE
"18",0.18,0.6991643454039,1,0.55,FALSE
"19",0.19,0.71866295264624,1,0.566523605150215,FALSE
"20",0.2,0.743732590529248,0.992424242424242,0.587443946188341,FALSE
"21",0.21,0.754874651810585,0.992424242424242,0.598173515981735,FALSE
"22",0.22,0.785515320334262,0.984848484848485,0.628019323671498,FALSE
"23",0.23,0.802228412256267,0.977272727272727,0.645,FALSE
"24",0.24,0.805013927576602,0.977272727272727,0.648241206030151,FALSE
"25",0.25,0.816155988857939,0.977272727272727,0.661538461538462,FALSE
"26",0.26,0.832869080779944,0.96969696969697,0.680851063829787,FALSE
"27",0.27,0.838440111420613,0.962121212121212,0.686486486486486,FALSE
"28",0.28,0.844011142061281,0.962121212121212,0.693989071038251,FALSE
"29",0.29,0.84958217270195,0.954545454545455,0.7,TRUE
"30",0.3,0.84958217270195,0.946969696969697,0.698324022346369,FALSE
"31",0.31,0.855153203342618,0.939393939393939,0.704545454545455,FALSE
"32",0.32,0.863509749303621,0.939393939393939,0.716763005780347,FALSE
"33",0.33,0.871866295264624,0.924242424242424,0.726190476190476,FALSE
"34",0.34,0.883008356545961,0.916666666666667,0.742331288343558,FALSE
"35",0.35,0.891364902506964,0.916666666666667,0.75625,FALSE
"36",0.36,0.891364902506964,0.909090909090909,0.754716981132076,FALSE
"37",0.37,0.891364902506964,0.878787878787879,0.748387096774194,FALSE
"38",0.38,0.896935933147632,0.863636363636364,0.754966887417219,FALSE
"39",0.39,0.902506963788301,0.863636363636364,0.76510067114094,FALSE
"40",0.4,0.908077994428969,0.840909090909091,0.770833333333333,FALSE
"41",0.41,0.910863509749304,0.840909090909091,0.776223776223776,FALSE
"42",0.42,0.913649025069638,0.825757575757576,0.778571428571429,FALSE
"43",0.43,0.919220055710306,0.818181818181818,0.788321167883212,FALSE
"44",0.44,0.930362116991644,0.795454545454545,0.807692307692308,FALSE
"45",0.45,0.930362116991644,0.795454545454545,0.807692307692308,FALSE
"46",0.46,0.94150417827298,0.78030303030303,0.830645161290323,FALSE
"47",0.47,0.944289693593315,0.772727272727273,0.836065573770492,FALSE
"48",0.48,0.944289693593315,0.765151515151515,0.834710743801653,FALSE
"49",0.49,0.949860724233983,0.75,0.846153846153846,FALSE
"50",0.5,0.952646239554318,0.742424242424242,0.852173913043478,FALSE
"51",0.51,0.958217270194986,0.734848484848485,0.866071428571429,FALSE
"52",0.52,0.96100278551532,0.727272727272727,0.872727272727273,FALSE
"53",0.53,0.963788300835655,0.727272727272727,0.880733944954128,FALSE
"54",0.54,0.966573816155989,0.712121212121212,0.886792452830189,FALSE
"55",0.55,0.969359331476323,0.712121212121212,0.895238095238095,FALSE
"56",0.56,0.974930362116992,0.704545454545455,0.911764705882353,FALSE
"57",0.57,0.977715877437326,0.696969696969697,0.92,FALSE
"58",0.58,0.977715877437326,0.681818181818182,0.918367346938776,FALSE
"59",0.59,0.98050139275766,0.666666666666667,0.926315789473684,FALSE
"60",0.6,0.983286908077994,0.659090909090909,0.935483870967742,FALSE
"61",0.61,0.983286908077994,0.651515151515151,0.934782608695652,FALSE
"62",0.62,0.983286908077994,0.636363636363636,0.933333333333333,FALSE
"63",0.63,0.983286908077994,0.628787878787879,0.932584269662921,FALSE
"64",0.64,0.983286908077994,0.621212121212121,0.931818181818182,FALSE
"65",0.65,0.983286908077994,0.598484848484849,0.929411764705882,FALSE
