"","Thresholds","Specificity","Sensitivity","Precision","Chosen"
"1",0.01,0.0115273775216138,1,0.295687885010267,FALSE
"2",0.02,0.0288184438040346,1,0.299376299376299,FALSE
"3",0.03,0.0576368876080692,1,0.305732484076433,FALSE
"4",0.04,0.115273775216138,1,0.319290465631929,FALSE
"5",0.05,0.195965417867435,1,0.340425531914894,FALSE
"6",0.06,0.265129682997118,1,0.360902255639098,FALSE
"7",0.07,0.334293948126801,1,0.384,FALSE
"8",0.08,0.368876080691643,1,0.396694214876033,FALSE
"9",0.09,0.440922190201729,0.993055555555556,0.42433234421365,FALSE
"10",0.1,0.507204610951009,0.993055555555556,0.455414012738854,FALSE
"11",0.11,0.550432276657061,0.993055555555556,0.478260869565217,FALSE
"12",0.12,0.582132564841499,0.993055555555556,0.496527777777778,FALSE
"13",0.13,0.61671469740634,0.993055555555556,0.518115942028985,FALSE
"14",0.14,0.642651296829971,0.993055555555556,0.535580524344569,FALSE
"15",0.15,0.674351585014409,0.993055555555556,0.55859375,FALSE
"16",0.16,0.69164265129683,0.993055555555556,0.572,FALSE
"17",0.17,0.708933717579251,0.993055555555556,0.586065573770492,FALSE
"18",0.18,0.729106628242075,0.993055555555556,0.60337552742616,FALSE
"19",0.19,0.746397694524496,0.993055555555556,0.619047619047619,FALSE
"20",0.2,0.757925072046109,0.986111111111111,0.628318584070796,FALSE
"21",0.21,0.760806916426513,0.979166666666667,0.629464285714286,FALSE
"22",0.22,0.77521613832853,0.965277777777778,0.640552995391705,FALSE
"23",0.23,0.789625360230548,0.951388888888889,0.652380952380952,FALSE
"24",0.24,0.806916426512968,0.951388888888889,0.67156862745098,FALSE
"25",0.25,0.824207492795389,0.951388888888889,0.691919191919192,TRUE
"26",0.26,0.84149855907781,0.944444444444444,0.712041884816754,FALSE
"27",0.27,0.847262247838617,0.944444444444444,0.71957671957672,FALSE
"28",0.28,0.85014409221902,0.9375,0.72192513368984,FALSE
"29",0.29,0.858789625360231,0.9375,0.733695652173913,FALSE
"30",0.3,0.878962536023055,0.923611111111111,0.76,FALSE
"31",0.31,0.878962536023055,0.923611111111111,0.76,FALSE
"32",0.32,0.887608069164265,0.923611111111111,0.773255813953488,FALSE
"33",0.33,0.890489913544669,0.916666666666667,0.776470588235294,FALSE
"34",0.34,0.896253602305475,0.916666666666667,0.785714285714286,FALSE
"35",0.35,0.904899135446686,0.916666666666667,0.8,FALSE
"36",0.36,0.907780979827089,0.916666666666667,0.804878048780488,FALSE
"37",0.37,0.907780979827089,0.895833333333333,0.801242236024845,FALSE
"38",0.38,0.913544668587896,0.895833333333333,0.811320754716981,FALSE
"39",0.39,0.913544668587896,0.881944444444444,0.808917197452229,FALSE
"40",0.4,0.913544668587896,0.875,0.807692307692308,FALSE
"41",0.41,0.92507204610951,0.847222222222222,0.824324324324324,FALSE
"42",0.42,0.927953890489914,0.833333333333333,0.827586206896552,FALSE
